id;name;address;stock;owner;gmt_create;gmt_modified;deleted
1;mobile Fish;Home Loan Account Table Computer;5808;FTP Savings Account;2019-07-12;2019-07-12;2058
2;Producer;Implementation Electronics Officer;61748;Home Loan Account;2019-07-13;2019-07-12;2306
3;Namibia;Steel zero administration;36636;Common;2019-07-12;2019-07-12;19967
4;Cambridgeshire Mississippi;HDD;68030;Centers;2019-07-13;2019-07-12;94220
5;South Dakota envisioneer Music;Nakfa;44015;Rubber Buckinghamshire Games;2019-07-12;2019-07-12;25877
6;invoice;convergence;20794;Georgia Industrial;2019-07-12;2019-07-12;44975
7;e-enable Communications capacitor;Awesome;19598;Tasty Plastic Pizza scale;2019-07-12;2019-07-12;82873
8;compelling mission-critical;bifurcated scalable;16526;Industrial;2019-07-12;2019-07-12;39488
9;24 hour;overriding;70685;application quantify Unbranded Plastic Tuna;2019-07-12;2019-07-12;86310
10;Investment Account archive Fantastic Plastic Chicken;payment;59129;tangible Mississippi;2019-07-12;2019-07-12;97171
